wine
fold;numberOfClassfiers;samplingFactor;k;classificationAlgorithm;weightedTPRate;weightedFPRate;weightedAccuracy;weightedPrecision;weightedRecall;F
3;2;0.75;growing;KnnBagging;0.69101125;0.17930213;0.79150367;0.68656427;0.69101125;0.6731074
5;2;0.75;growing;KnnBagging;0.69101125;0.17316782;0.7937129;0.67479694;0.69101125;0.67175037
10;2;0.75;growing;KnnBagging;0.6797753;0.17920136;0.7851281;0.67258334;0.6797753;0.6681927
2;2;0.75;growing;KnnAdaBoost;0.58426964;0.20909251;0.72705466;0.5574594;0.58426964;0.5567098
3;2;0.75;growing;KnnAdaBoost;0.6516854;0.1779986;0.7678324;0.65707284;0.6516854;0.6541293
5;2;0.75;growing;KnnAdaBoost;0.64606744;0.19383126;0.7621828;0.65651745;0.64606744;0.6184121
10;2;0.75;growing;KnnAdaBoost;0.6516854;0.17707309;0.77010477;0.64159006;0.6516854;0.6452983
2;2;0.75;falling;KnnBagging;0.73595506;0.1475947;0.82480115;0.7239141;0.73595506;0.718829
3;2;0.75;falling;KnnBagging;0.7022472;0.16476977;0.8004987;0.6895211;0.7022472;0.6877896
5;2;0.75;falling;KnnBagging;0.66853935;0.18477213;0.77837396;0.6548221;0.66853935;0.65263635
10;2;0.75;falling;KnnBagging;0.6966292;0.17297837;0.7956066;0.6867363;0.6966292;0.67986506
2;2;0.75;falling;KnnAdaBoost;0.58426964;0.24445911;0.7136094;0.62734693;0.58426964;0.57686883
3;2;0.75;falling;KnnAdaBoost;0.5224719;0.24890776;0.68185836;0.49980262;0.5224719;0.5070374
5;2;0.75;falling;KnnAdaBoost;0.5224719;0.2706683;0.67583007;0.5006988;0.5224719;0.46534848
10;2;0.75;falling;KnnAdaBoost;0.5898876;0.21194482;0.7275281;0.5838185;0.5898876;0.5863214
2;2;0.9;const;KnnBagging;0.6741573;0.16450945;0.7835185;0.66861814;0.6741573;0.6706823
3;2;0.9;const;KnnBagging;0.7022472;0.1727889;0.8001199;0.7017503;0.7022472;0.6858627
5;2;0.9;const;KnnBagging;0.69101125;0.16749632;0.7940601;0.67767626;0.69101125;0.6800178
10;2;0.9;const;KnnBagging;0.71348315;0.15494959;0.80832595;0.6996814;0.71348315;0.70193493
2;2;0.9;const;KnnAdaBoost;0.64606744;0.18387651;0.7619934;0.63560814;0.64606744;0.637917
3;2;0.9;const;KnnAdaBoost;0.6235955;0.17919423;0.7524618;0.6297013;0.6235955;0.6160058
5;2;0.9;const;KnnAdaBoost;0.69101125;0.1580551;0.794786;0.67861867;0.69101125;0.6826784
10;2;0.9;const;KnnAdaBoost;0.64044946;0.1849915;0.7617725;0.6281197;0.64044946;0.63336223
2;2;0.9;growing;KnnBagging;0.71348315;0.14597112;0.8105353;0.70833635;0.71348315;0.7105895
3;2;0.9;growing;KnnBagging;0.71348315;0.16085249;0.8087363;0.7048382;0.71348315;0.6990474
5;2;0.9;growing;KnnBagging;0.6741573;0.19048555;0.78020453;0.657949;0.6741573;0.6466629
10;2;0.9;growing;KnnBagging;0.7247191;0.15858869;0.81476456;0.7246782;0.7247191;0.7119414
2;2;0.9;growing;KnnAdaBoost;0.505618;0.25989366;0.66604596;0.49475956;0.505618;0.47982317
3;2;0.9;growing;KnnAdaBoost;0.6573034;0.17078319;0.7739868;0.6577514;0.6573034;0.6399608
5;2;0.9;growing;KnnAdaBoost;0.6179775;0.20087902;0.74258304;0.60359216;0.6179775;0.60217476
10;2;0.9;growing;KnnAdaBoost;0.6235955;0.20260824;0.74352986;0.6324401;0.6235955;0.59962934
2;2;0.9;falling;KnnBagging;0.69101125;0.17386198;0.79150367;0.6965002;0.69101125;0.68674755
3;2;0.9;falling;KnnBagging;0.69101125;0.17339922;0.7940285;0.6720073;0.69101125;0.6706896
5;2;0.9;falling;KnnBagging;0.7247191;0.15599278;0.8140702;0.7250458;0.7247191;0.71701247
10;2;0.9;falling;KnnBagging;0.7078652;0.1674076;0.8031499;0.7095343;0.7078652;0.6977886
2;2;0.9;falling;KnnAdaBoost;0.6235955;0.2002268;0.74779075;0.6024727;0.6235955;0.59809023
3;2;0.9;falling;KnnAdaBoost;0.41011235;0.29467762;0.6070256;0.4055537;0.41011235;0.400748
5;2;0.9;falling;KnnAdaBoost;0.60674155;0.18968353;0.7398056;0.60970294;0.60674155;0.59139735
10;2;0.9;falling;KnnAdaBoost;0.5730337;0.23729858;0.70963264;0.5588475;0.5730337;0.5588787
2;2;1.0;const;KnnBagging;0.6741573;0.16710536;0.7820667;0.6700988;0.6741573;0.67188597
3;2;1.0;const;KnnBagging;0.66853935;0.18642563;0.7773009;0.65997976;0.66853935;0.6545214
5;2;1.0;const;KnnBagging;0.7022472;0.1685395;0.7986681;0.7013373;0.7022472;0.69416535
10;2;1.0;const;KnnBagging;0.74157304;0.14552039;0.8271367;0.73754126;0.74157304;0.7299711
2;2;1.0;const;KnnAdaBoost;0.6292135;0.19340646;0.7539137;0.59627223;0.6292135;0.60588604
3;2;1.0;const;KnnAdaBoost;0.6516854;0.17260922;0.77016795;0.64577496;0.6516854;0.6373861
5;2;1.0;const;KnnAdaBoost;0.6573034;0.17240284;0.7727244;0.64708054;0.6573034;0.6488094
10;2;1.0;const;KnnAdaBoost;0.66853935;0.16825418;0.77840555;0.65881157;0.66853935;0.65964705
2;2;1.0;growing;KnnBagging;0.6853933;0.1719352;0.78853685;0.6775706;0.6853933;0.6775435
3;2;1.0;growing;KnnBagging;0.71348315;0.16131525;0.80797887;0.7138685;0.71348315;0.70566815
5;2;1.0;growing;KnnBagging;0.7022472;0.1687878;0.80018306;0.6952533;0.7022472;0.68491393
10;2;1.0;growing;KnnBagging;0.6797753;0.18368216;0.7843076;0.67046183;0.6797753;0.6631616
2;2;1.0;growing;KnnAdaBoost;0.5674157;0.21296789;0.71256787;0.565088;0.5674157;0.54031956
3;2;1.0;growing;KnnAdaBoost;0.6573034;0.17997614;0.7680848;0.64853877;0.6573034;0.6443187
5;2;1.0;growing;KnnAdaBoost;0.6516854;0.17639586;0.7680533;0.6501768;0.6516854;0.63766617
10;2;1.0;growing;KnnAdaBoost;0.66292137;0.1781501;0.7733872;0.663028;0.66292137;0.64841604
2;2;1.0;falling;KnnBagging;0.7022472;0.16688602;0.79974115;0.69687265;0.7022472;0.6924929
3;2;1.0;falling;KnnBagging;0.69101125;0.17576376;0.7933342;0.67582405;0.69101125;0.66936064
5;2;1.0;falling;KnnBagging;0.6853933;0.18066539;0.78885245;0.6806056;0.6853933;0.66933024
10;2;1.0;falling;KnnBagging;0.7303371;0.15486088;0.8192779;0.7320939;0.7303371;0.7187042
2;2;1.0;falling;KnnAdaBoost;0.505618;0.2603226;0.6705593;0.4730485;0.505618;0.48552838
3;2;1.0;falling;KnnAdaBoost;0.5674157;0.21599272;0.7131991;0.56722236;0.5674157;0.5664672
5;2;1.0;falling;KnnAdaBoost;0.6179775;0.22331679;0.74188864;0.6146636;0.6179775;0.56594414
10;2;1.0;falling;KnnAdaBoost;0.505618;0.26483724;0.66481507;0.47388917;0.505618;0.47305828
2;3;0.1;const;KnnBagging;0.6011236;0.19311231;0.7342823;0.6320426;0.6011236;0.61162555
3;3;0.1;const;KnnBagging;0.6853933;0.19179396;0.79033583;0.7714239;0.6853933;0.58801746
5;3;0.1;const;KnnBagging;0.7078652;0.13623965;0.80718976;0.7234155;0.7078652;0.70976293
10;3;0.1;const;KnnBagging;0.66853935;0.1706018;0.78086734;0.65457416;0.66853935;0.66019976
2;3;0.1;const;KnnAdaBoost;0.34269664;0.35955232;0.55267644;0.27218106;0.34269664;0.29881057
3;3;0.1;const;KnnAdaBoost;0.4213483;0.30144307;0.6107499;0.39071393;0.4213483;0.37930268
5;3;0.1;const;KnnAdaBoost;0.66292137;0.16277213;0.77648026;0.66472024;0.66292137;0.6565298
10;3;0.1;const;KnnAdaBoost;0.57865167;0.22366676;0.7178071;0.55434173;0.57865167;0.55939054
2;3;0.1;growing;KnnBagging;0.6853933;0.19791129;0.78661156;0.7118511;0.6853933;0.6240923
3;3;0.1;growing;KnnBagging;0.6741573;0.17558725;0.7810252;0.71117944;0.6741573;0.6809047
5;3;0.1;growing;KnnBagging;0.64606744;0.1911846;0.7666015;0.6098278;0.64606744;0.6208216
10;3;0.1;growing;KnnBagging;0.66292137;0.19203828;0.7724404;0.6604691;0.66292137;0.6507444
2;3;0.1;growing;KnnAdaBoost;0.4213483;0.3173629;0.60989773;0.50347275;0.4213483;0.4097683
3;3;0.1;growing;KnnAdaBoost;0.5674157;0.2143054;0.71158946;0.6050461;0.5674157;0.5798884
5;3;0.1;growing;KnnAdaBoost;0.5730337;0.22264858;0.7158187;0.5653728;0.5730337;0.56840265
10;3;0.1;growing;KnnAdaBoost;0.53932583;0.22634746;0.6937255;0.56556433;0.53932583;0.5474922
2;3;0.1;falling;KnnBagging;0.66853935;0.20674714;0.7772377;0.49841043;0.66853935;0.56849444
3;3;0.1;falling;KnnBagging;0.64044946;0.19134022;0.7581429;0.68500686;0.64044946;0.65033734
5;3;0.1;falling;KnnBagging;0.6741573;0.1812757;0.7823507;0.6451545;0.6741573;0.65045816
10;3;0.1;falling;KnnBagging;0.6853933;0.17310901;0.7899571;0.67871904;0.6853933;0.67645687
2;3;0.1;falling;KnnAdaBoost;0.25842696;0.36475334;0.5055233;0.18110274;0.25842696;0.20835589
3;3;0.1;falling;KnnAdaBoost;0.26404494;0.35732347;0.5111729;0.25527766;0.26404494;0.25192407
5;3;0.1;falling;KnnAdaBoost;0.28651685;0.37994578;0.52029413;0.21190344;0.28651685;0.24312182
10;3;0.1;falling;KnnAdaBoost;0.33146068;0.34519663;0.5515086;0.31791592;0.33146068;0.32282314
2;3;0.5;const;KnnBagging;0.73595506;0.12656213;0.8244224;0.74977255;0.73595506;0.7397036
3;3;0.5;const;KnnBagging;0.7303371;0.14328648;0.8192463;0.7277327;0.7303371;0.7282351
5;3;0.5;const;KnnBagging;0.6741573;0.16049142;0.7831713;0.67920953;0.6741573;0.6752121
10;3;0.5;const;KnnBagging;0.6853933;0.17145552;0.7898624;0.667415;0.6853933;0.6717593
2;3;0.5;const;KnnAdaBoost;0.6179775;0.20628533;0.74106807;0.613548;0.6179775;0.6141907
3;3;0.5;const;KnnAdaBoost;0.66292137;0.18638368;0.7749337;0.62816715;0.66292137;0.632752
5;3;0.5;const;KnnAdaBoost;0.6573034;0.18020752;0.77127254;0.6335996;0.6573034;0.63448423
10;3;0.5;const;KnnAdaBoost;0.73595506;0.14003833;0.8241068;0.7276283;0.73595506;0.7294879
2;3;0.5;growing;KnnBagging;0.69101125;0.1462493;0.7944704;0.70008963;0.69101125;0.6873985
3;3;0.5;growing;KnnBagging;0.7022472;0.15436918;0.80046713;0.6987755;0.7022472;0.70036656
5;3;0.5;growing;KnnBagging;0.6853933;0.16649507;0.78885245;0.68387246;0.6853933;0.6840488
10;3;0.5;growing;KnnBagging;0.6741573;0.16993266;0.78244543;0.67840785;0.6741573;0.675616
