"RangeDiscretizer";;;;;;;;
"------------------------------------------------------------";;;;;;;;
"Glass";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
7;10;0,78571427;0,024381997;0,9138265;0,9347583;0,78571427;0,8511927;
8;2;0,81333333;0,033333335;0,91555554;0,92063487;0,81333333;0,86276245;
8;3;0,8066667;0,02;0,9222222;0,9479729;0,8066667;0,8679438;
8;5;0,78;0,026666667;0,9088889;0,9311741;0,78;0,8464489;
8;10;0,76;0,026666667;0,9022222;0,9288499;0,76;0,8325207;
9;2;0,84931505;0,043611966;0,921186;0,9013699;0,84931505;0,8739137;
9;3;0,8561644;0,026838135;0,934697;0,93826056;0,8561644;0,89399636;
9;5;0,86986303;0,0301929;0,9369488;0,9320405;0,86986303;0,8991463;
9;10;0,8630137;0,0301929;0,934697;0,93082416;0,8630137;0,8948266;
10;2;0,8561644;0,01688328;0,94145244;0,9590844;0,8561644;0,90282035;
10;3;0,84246576;0,023803204;0,9322575;0,9431026;0,84246576;0,8880679;
10;5;0,8561644;0,0270549;0,9344624;0,9364907;0,8561644;0,8934045;
10;10;0,8767123;0,023803204;0,94356346;0,9466134;0,8767123;0,9093123;
11;2;0,8666667;0,03;0,9355555;0,9327603;0,8666667;0,89762545;
11;3;0,8666667;0,036666665;0,93111116;0,91932374;0,8666667;0,8917397;
11;5;0,8333333;0,04;0,9177777;0,90803385;0,8333333;0,8680699;
11;10;0,84;0,04;0,92;0,9090909;0,84;0,8723404;
12;2;0,85333335;0,02;0,9377778;0,95347065;0,85333335;0,89772725;
12;3;0,7866667;0,05;0,8955555;0,8889556;0,7866667;0,8285233;
12;5;0,82;0,03;0,92;0,9268292;0,82;0,86813194;
12;10;0,82;0,033333335;0,91777784;0,91957366;0,82;0,8649941;
13;2;0,8333333;0,046666667;0,91333336;0,8973168;0,8333333;0,860561;
13;3;0,85333335;0,036666665;0,9266667;0,9200542;0,85333335;0,8838305;
13;5;0,8666667;0,036666665;0,93111104;0,9195011;0,8666667;0,89101154;
13;10;0,88;0,036666665;0,9355555;0,9213048;0,88;0,89949137;
14;2;0,91333336;0,02;0,9577778;0,95774233;0,91333336;0,9349884;
14;3;0,87333333;0,03;0,9377778;0,93381643;0,87333333;0,9022617;
14;5;0,87333333;0,026666667;0,94;0,94122386;0,87333333;0,9058435;
14;10;0,88666666;0,026666667;0,9444445;0,94249153;0,88666666;0,9136583;
15;2;0,8;0,043333333;0,90444446;0,9019047;0,8;0,8430012;
15;3;0,82;0,036666665;0,91555554;0,9126984;0,82;0,8623188;
15;5;0,82;0,033333335;0,91777784;0,9222222;0,82;0,8668815;
15;10;0,81333333;0,033333335;0,91555554;0,9212121;0,81333333;0,8627008;
16;2;0,82;0,036666665;0,91555554;0,9185512;0,82;0,8631613;
16;3;0,79333335;0,043333333;0,9022222;0,89444447;0,79333335;0,8388084;
16;5;0,82666665;0,033333335;0,92;0,9223125;0,82666665;0,87096864;
16;10;0,79333335;0,036666665;0,9066667;0,9103175;0,79333335;0,8464984;
17;2;0,8466667;0,036666665;0,9244444;0,91805553;0,8466667;0,8789116;
17;3;0,84;0,033333335;0,9244445;0,92248064;0,84;0,8781362;
17;5;0,8066667;0,036666665;0,9111111;0,9099583;0,8066667;0,8529258;
17;10;0,82666665;0,036666665;0,91777784;0,9136212;0,82666665;0,8666043;
18;2;0,82666665;0,02;0,928889;0,95140666;0,82666665;0,8789683;
18;3;0,8466667;0,016666668;0,9377778;0,959127;0,8466667;0,89726245;
18;5;0,84;0,023333333;0,93111116;0,9430847;0,84;0,8862858;
18;10;0,81333333;0,026666667;0,92;0,93287474;0,81333333;0,8664033;
19;2;0,82666665;0,023333333;0,9266667;0,94207317;0,82666665;0,87830687;
19;3;0,81333333;0,036666665;0,91333336;0,911537;0,81333333;0,8578595;
19;5;0,84;0,03;0,9266667;0,9296296;0,84;0,8807018;
19;10;0,8466667;0,03;0,92888886;0,93044263;0,8466667;0,8850973;
20;2;0,7866667;0,033333335;0,9066667;0,9166667;0,7866667;0,8450492;
20;3;0,78;0,04;0,9;0,89740264;0,78;0,8302878;
20;5;0,76;0,046666667;0,88888884;0,8813701;0,76;0,8143435;
20;10;0,76;0,043333333;0,89111114;0,88716626;0,76;0,81598634;0,9349884
"wine";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
5;2;0,8202247;0,069949806;0,8918697;0,87738353;0,8202247;0,8378889;
5;3;0,76404494;0,07575195;0,8657998;0,85236377;0,76404494;0,798361;
5;5;0,80898875;0,06523765;0,88681984;0,8881898;0,80898875;0,8345396;
5;10;0,80898875;0,05876636;0,893511;0,88975626;0,80898875;0,8428037;
6;2;0,7022472;0,069760345;0,8545638;0,8603725;0,7022472;0,77082986;
6;3;0,7303371;0,05390664;0,87255394;0,88864356;0,7303371;0,79988897;
6;5;0,7977528;0,05574959;0,8899129;0,8923019;0,7977528;0,83846694;
6;10;0,7921348;0,061320357;0,8868199;0,8882333;0,7921348;0,8326304;
7;2;0,71348315;0,089489415;0,84443253;0,83126754;0,71348315;0,7611739;
7;3;0,747191;0,062262792;0,8707234;0,8804543;0,747191;0,8035018;
7;5;0,752809;0,067875475;0,8706603;0,872096;0,752809;0,8035834;
7;10;0,75842696;0,07849542;0,8639376;0,8531626;0,75842696;0,7958622;
8;2;0,6516854;0,07598334;0,8277995;0,8184764;0,6516854;0,72430223;
8;3;0,7022472;0,06848578;0,8508395;0,8534327;0,7022472;0,76599026;
8;5;0,76404494;0,07037065;0,8717333;0,85935235;0,76404494;0,80492854;
8;10;0,752809;0,07202414;0,8676619;0,85652417;0,752809;0,79887897;
9;2;0,6966292;0,07910085;0,84856707;0,8485121;0,6966292;0,7615421;
9;3;0,6797753;0,08481915;0,83556366;0,8258258;0,6797753;0,7434823;
9;5;0,74157304;0,06065122;0,8740058;0,8741123;0,74157304;0,80114394;
9;10;0,7078652;0,0764211;0,8497349;0,85013676;0,7078652;0,76730037;
10;2;0,69101125;0,08117518;0,84190756;0,83478403;0,69101125;0,7557044;
10;3;0,6741573;0,05857689;0,85011363;0,871979;0,6741573;0,75891525;
10;5;0,6573034;0,061741203;0,83635277;0,8654494;0,6573034;0,7363323;
10;10;0,71348315;0,06599061;0,8543429;0,8660761;0,71348315;0,77648294;
11;2;0,6966292;0,06504817;0,85393256;0,86102194;0,6966292;0,7689747;
11;3;0,8146067;0,03715242;0,9118167;0,92582357;0,8146067;0,8651135;
11;5;0,752809;0,03922675;0,8882717;0,91221386;0,752809;0,82366216;
11;10;0,78651685;0,02879627;0,908124;0,9324715;0,78651685;0,8532731;
12;2;0,6797753;0,06414766;0,8483462;0,8557957;0,6797753;0,7575387;
12;3;0,71348315;0,059519324;0,86510545;0,8721004;0,71348315;0,7840764;
12;5;0,6966292;0,067875475;0,8541851;0,8622773;0,6966292;0,7674354;
12;10;0,7022472;0,069760345;0,8546585;0,85324717;0,7022472;0,76946557;
13;2;0,66853935;0,04917756;0,85238606;0,8682772;0,66853935;0,7540804;
13;3;0,66292137;0,06433713;0,84193915;0,8534644;0,66292137;0,7450665;
13;5;0,66853935;0,05296421;0,8541535;0,88403064;0,66853935;0,7578359;
13;10;0,71910113;0,052021775;0,8695556;0,89351064;0,71910113;0,7935064;
14;2;0,66292137;0,051163174;0,85128134;0,8798585;0,66292137;0,75601923;
14;3;0,66292137;0,07013927;0,8381833;0,8394317;0,66292137;0,73991215;
14;5;0,6797753;0,06452659;0,8496086;0,86401916;0,6797753;0,7542926;
14;10;0,69101125;0,05296421;0,86093926;0,8844335;0,69101125;0,7738764;
15;2;0,6292135;0,08697732;0,8205088;0,81109965;0,6292135;0,7056865;
15;3;0,74157304;0,046013247;0,8803181;0,89887947;0,74157304;0,81187695;
15;5;0,69101125;0,066642836;0,8482514;0,8502714;0,69101125;0,760158;
15;10;0,73595506;0,051584013;0,8741005;0,8833217;0,73595506;0,8024732;
16;2;0,6348315;0,061593655;0,8355952;0,84563696;0,6348315;0,72476065;
16;3;0,7078652;0,07528919;0,8520705;0,8456078;0,7078652;0,76932794;
16;5;0,66853935;0,05970879;0,8478728;0,86255336;0,66853935;0,75259423;
16;10;0,71348315;0,062494177;0,8624858;0,86198366;0,71348315;0,7803108;
17;2;0,6292135;0,07830596;0,82215;0,8188281;0,6292135;0,7111667;
17;3;0,6179775;0,069196835;0,82615834;0,8293019;0,6179775;0,7072141;
17;5;0,6853933;0,073635705;0,84414846;0,8467804;0,6853933;0,7546215;
17;10;0,6797753;0,07198222;0,8422548;0,84699273;0,6797753;0,7503486;
18;2;0,66853935;0,07089224;0,8414657;0,8472904;0,66853935;0,7454186;
18;3;0,69101125;0,07736352;0,843391;0,8430132;0,69101125;0,7556672;
18;5;0,6292135;0,06990789;0,82704204;0,8306234;0,6292135;0,71570754;
18;10;0,64044946;0,079206474;0,8262846;0,81746787;0,64044946;0,7176597;
19;2;0,58426964;0,08117518;0,8100619;0,80985117;0,58426964;0,67332864;
19;3;0,6573034;0,06806494;0,8396351;0,8472048;0,6573034;0,7386648;
19;5;0,7022472;0,0515421;0,86542106;0,8764916;0,7022472;0,7796011;
19;10;0,6797753;0,0478562;0,8602134;0,8786616;0,6797753;0,765658;
20;2;0,58426964;0,09179512;0,7996149;0,7792818;0,58426964;0,66727173;
20;3;0,5955056;0,089489415;0,80526453;0,79577553;0,5955056;0,67962295;
20;5;0,6235955;0,067122504;0,8280836;0,83938456;0,6235955;0,71466815;
20;10;0,64606744;0,07434676;0,8296616;0,836567;0,64606744;0,727584;0,8651135
;;;;;;;;
;;;;;;;;
;;;;;;;;
"UniformDensityDiscretizer";;;;;;;;
"------------------------------------------------------------";;;;;;;;
"Glass";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
5;2;0,53846157;0,14849189;0,7890857;0,60842854;0,53846157;0,56668466;
5;3;0,5144231;0,13141634;0,7904955;0,62568295;0,5144231;0,556421;
5;5;0,5625;0,113048725;0,8162444;0,6631526;0,5625;0,604995;
5;10;0,6057692;0,10879196;0,82960427;0,6817318;0,6057692;0,6396647;
