"RangeDiscretizer";;;;;;;;
"------------------------------------------------------------";;;;;;;;
"Glass";;;;;;;;
"ranges";"folds";"TP";"FP";"Accuracy";"Precision";"Recall";"F";
8;3;0,7303371;0,030912517;0,8915225;0,9269436;0,7303371;0,81413716;
8;5;0,6853933;0,06253609;0,8527648;0,85850453;0,6853933;0,7618099;
8;10;0,69101125;0,06069314;0,8575622;0,86751425;0,69101125;0,7676757;
9;2;0,66853935;0,05742808;0,85456383;0,86590964;0,66853935;0,7414134;
9;3;0,7078652;0,042474896;0,87255394;0,8886097;0,7078652;0,7869992;
9;5;0,6853933;0,03577223;0,8706918;0,9027575;0,6853933;0,7749108;
9;10;0,6235955;0,06645337;0,83098733;0,8347968;0,6235955;0,7126147;
10;2;0,66292137;0,05673394;0,8481252;0,84102595;0,66292137;0,734565;
10;3;0,6797753;0,04272319;0,85901403;0,87334347;0,6797753;0,7608523;
10;5;0,7078652;0,038326234;0,8760573;0,88904625;0,7078652;0,7829445;
10;10;0,71348315;0,038326234;0,8782982;0,8893526;0,71348315;0,78625685;
11;2;0,60674155;0,04186459;0,84026635;0,8392819;0,60674155;0,6830319;
11;3;0,6741573;0,054849073;0,85393256;0,86768246;0,6741573;0,75841856;
11;5;0,71348315;0,038326234;0,8793081;0,8990244;0,71348315;0,79350734;
11;10;0,66292137;0,034829795;0,86295927;0,8843499;0,66292137;0,7468297;
12;2;0,64606744;0,049236394;0,8465156;0,8665693;0,64606744;0,74009;
12;3;0,6797753;0,022283072;0,8759627;0,932008;0,6797753;0,7854399;
12;5;0,6573034;0,04272319;0,8579409;0,8897561;0,6573034;0,75471926;
12;10;0,6011236;0,037383802;0,8430123;0,8706546;0,6011236;0,7064548;
13;2;0,64044946;0,087794006;0,8209506;0,80992633;0,64044946;0,71264;
13;3;0,64606744;0,062683634;0,83606863;0,8357693;0,64606744;0,72791326;
13;5;0,6292135;0,034598418;0,8523861;0,8900512;0,6292135;0,734696;
13;10;0,6179775;0,046682384;0,84083456;0,85728335;0,6179775;0,7160533;
14;2;0,66292137;0,06504817;0,8409923;0,8384065;0,66292137;0,74015266;
14;3;0,6797753;0,05688149;0,85181797;0,8510105;0,6797753;0,75503105;
14;5;0,6797753;0,047814284;0,85888773;0,857244;0,6797753;0,7550346;
14;10;0,6573034;0,045971334;0,8525439;0,85288644;0,6573034;0,736102;
15;2;0,5674157;0,09623399;0,7913458;0,7777668;0,5674157;0,65358037;
15;3;0,66853935;0,07240306;0,8389092;0,8290718;0,66853935;0,739538;
15;5;0,66853935;0,037425715;0,860813;0,88859427;0,66853935;0,7505591;
15;10;0,64606744;0,048567258;0,84695745;0,8522707;0,64606744;0,7281334;
16;2;0,6348315;0,07236115;0,8243909;0,8344228;0,6348315;0,71618956;
16;3;0,64606744;0,088778354;0,8247065;0,79931664;0,64606744;0,71266234;
16;5;0,66292137;0,041763842;0,8554791;0,87192905;0,66292137;0,74504304;
16;10;0,6573034;0,047814284;0,84951395;0,86409277;0,6573034;0,7447869;
17;2;0,60674155;0,09676046;0,79851025;0,7952329;0,60674155;0,6777863;
17;3;0,64606744;0,08331323;0,82435936;0,81680924;0,64606744;0,7190426;
17;5;0,64044946;0,04917756;0,84414846;0,8582541;0,64044946;0,732416;
17;10;0,6179775;0,052674;0,8344906;0,8417982;0,6179775;0,7114808;
18;2;0,57865167;0,099125005;0,789168;0,79029846;0,57865167;0,6586034;
18;3;0,64606744;0,07868489;0,8266317;0,8181113;0,64606744;0,72078425;
18;5;0,6235955;0,04687185;0,83969826;0,86679643;0,6235955;0,72495663;
18;10;0,6123595;0,047814284;0,83600557;0,8507717;0,6123595;0,7105508;
19;2;0,5168539;0,11711187;0,75422925;0,74171346;0,5168539;0,6014475;
19;3;0,60674155;0,10978686;0,79175603;0,77247876;0,60674155;0,67071617;
19;5;0,6292135;0,05593906;0,83780456;0,8572153;0,6292135;0,7252078;
19;10;0,6573034;0,040821407;0,8561419;0,87233263;0,6573034;0,7451221;
20;2;0,4775281;0,1282534;0,73254645;0,71854824;0,4775281;0,5606879;
20;3;0,66292137;0,09539719;0,8191832;0,8115438;0,66292137;0,7226478;
20;5;0,5730337;0,089174196;0,79601693;0,8063266;0,5730337;0,666112;
20;10;0,5898876;0,07269328;0,8117662;0,80705714;0,5898876;0,6815324;0,8482433
