"<continuous data>";;;;;;;;;;
"------------------------------------------------------------";;;;;;;;;;
"Glass";;;;;;;;;;
"ranges";"folds";"smooth";"TP";"FP";"Accuracy";"Precision";"Recall";"F";;
17;3;"false";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
17;5;"false";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
17;10;"false";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
18;2;"false";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
18;3;"false";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
18;5;"false";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
18;10;"false";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
19;2;"false";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
19;3;"false";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
19;5;"false";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
19;10;"false";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
20;2;"false";0,44392523;0,2748899;0,6860861;0,43429092;0,44392523;0,42039183;;
20;3;"false";0,45794392;0,26615766;0,69866365;0,46097887;0,45794392;0,43620005;;
20;5;"false";0,5140187;0,24331321;0,7355883;0,51601857;0,5140187;0,4842201;;
20;10;"false";0,4813084;0,2580063;0,7144292;0,49135014;0,4813084;0,45301378;;
"iris";;;;;;;;;;
"ranges";"folds";"smooth";"TP";"FP";"Accuracy";"Precision";"Recall";"F";;
5;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;0,55179524
5;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;0,52258855
5;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;0,52258855
5;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;0,52258855
6;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
6;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
6;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
6;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
7;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
7;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
7;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
7;10;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
8;2;"true";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
8;3;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
8;5;"true";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
