glass
distance;votingInput;folds;k;TP;FP;Accuracy;Precision;Recall;F
Manhattan;proportional;10;3;0.6869159;0.113469355;0.84612197;0.6843557;0.6869159;0.68164134
Manhattan;proportional;10;5;0.6869159;0.12189471;0.8466023;0.6739169;0.6869159;0.6771735
Manhattan;proportional;10;7;0.7056075;0.12085546;0.8535243;0.6944979;0.7056075;0.6966072
Manhattan;proportional;10;11;0.7056075;0.12842293;0.8497031;0.6918226;0.7056075;0.69105595
Manhattan;proportional;10;13;0.7056075;0.1325898;0.8469081;0.6909783;0.7056075;0.6880145
Manhattan;proportional;10;17;0.6869159;0.15163837;0.8352258;0.65815955;0.6869159;0.6612465
Manhattan;proportional;10;19;0.69158876;0.15002738;0.8385449;0.6632115;0.69158876;0.66420555
Manhattan;proportional;10;23;0.6962617;0.15216999;0.83919996;0.67474836;0.6962617;0.6691932
Manhattan;weightedWithDistance;2;1;0.6401869;0.13774008;0.81666523;0.6672839;0.6401869;0.644175
Manhattan;weightedWithDistance;2;3;0.64953274;0.12825342;0.8250065;0.663169;0.64953274;0.65183777
Manhattan;weightedWithDistance;2;5;0.63084114;0.14288704;0.8141541;0.6528616;0.63084114;0.63301015
Manhattan;weightedWithDistance;2;7;0.6214953;0.14990228;0.81070393;0.63709515;0.6214953;0.6193673
Manhattan;weightedWithDistance;2;11;0.58411217;0.18244237;0.7824264;0.59753263;0.58411217;0.5791167
Manhattan;weightedWithDistance;2;13;0.60747665;0.17996368;0.7930824;0.6147439;0.60747665;0.5972957
Manhattan;weightedWithDistance;2;17;0.6401869;0.1786382;0.8095904;0.65986645;0.6401869;0.6154937
Manhattan;weightedWithDistance;2;19;0.59345794;0.20434223;0.7777317;0.6110052;0.59345794;0.5687073
Manhattan;weightedWithDistance;2;23;0.58878505;0.21391687;0.7772732;0.5868026;0.58878505;0.5457393
Manhattan;weightedWithDistance;3;1;0.7196262;0.11709704;0.8560355;0.71502006;0.7196262;0.7116553
Manhattan;weightedWithDistance;3;3;0.72897196;0.104937315;0.86579615;0.72363114;0.72897196;0.72335535
Manhattan;weightedWithDistance;3;5;0.71028036;0.11439518;0.85717094;0.7034764;0.71028036;0.70263386
Manhattan;weightedWithDistance;3;7;0.7196262;0.120173074;0.85865587;0.7107592;0.7196262;0.7085949
Manhattan;weightedWithDistance;3;11;0.6869159;0.14320545;0.8399861;0.67504954;0.6869159;0.6705941
Manhattan;weightedWithDistance;3;13;0.6869159;0.15052207;0.8400734;0.6732109;0.6869159;0.66183656
Manhattan;weightedWithDistance;3;17;0.6635514;0.16672029;0.8233033;0.6614461;0.6635514;0.6384456
Manhattan;weightedWithDistance;3;19;0.6728972;0.16638649;0.8271901;0.6930586;0.6728972;0.6470466
Manhattan;weightedWithDistance;3;23;0.6775701;0.16320916;0.83188486;0.69619364;0.6775701;0.64905834
Manhattan;weightedWithDistance;5;1;0.71028036;0.117574275;0.8540047;0.70592463;0.71028036;0.7040289
Manhattan;weightedWithDistance;5;3;0.6869159;0.12191923;0.8436327;0.68341416;0.6869159;0.68183017
Manhattan;weightedWithDistance;5;5;0.71495324;0.11406562;0.85795707;0.70608675;0.71495324;0.7076594
Manhattan;weightedWithDistance;5;7;0.7196262;0.11767075;0.8601625;0.7096462;0.7196262;0.7097749
Manhattan;weightedWithDistance;5;11;0.7196262;0.123473756;0.85789156;0.71118265;0.7196262;0.7072426
Manhattan;weightedWithDistance;5;13;0.7009346;0.13657114;0.8505983;0.6880276;0.7009346;0.6803618
Manhattan;weightedWithDistance;5;17;0.6728972;0.15176679;0.831601;0.66909206;0.6728972;0.65420204
Manhattan;weightedWithDistance;5;19;0.6588785;0.16105361;0.82443887;0.6519003;0.6588785;0.6317941
Manhattan;weightedWithDistance;5;23;0.6588785;0.16342478;0.8228448;0.6407635;0.6588785;0.6274804
Manhattan;weightedWithDistance;10;1;0.6869159;0.12148894;0.8443315;0.6786862;0.6869159;0.6794365
Manhattan;weightedWithDistance;10;3;0.6869159;0.113469355;0.84612197;0.6843557;0.6869159;0.68164134
Manhattan;weightedWithDistance;10;5;0.6869159;0.12189471;0.8466023;0.6739169;0.6869159;0.6771735
Manhattan;weightedWithDistance;10;7;0.7056075;0.12085546;0.8535243;0.6944979;0.7056075;0.6966072
Manhattan;weightedWithDistance;10;11;0.7056075;0.12842293;0.8497031;0.6918226;0.7056075;0.69105595
Manhattan;weightedWithDistance;10;13;0.7056075;0.1325898;0.8469081;0.6909783;0.7056075;0.6880145
Manhattan;weightedWithDistance;10;17;0.6869159;0.15163837;0.8352258;0.65815955;0.6869159;0.6612465
Manhattan;weightedWithDistance;10;19;0.69158876;0.15002738;0.8385449;0.6632115;0.69158876;0.66420555
Manhattan;weightedWithDistance;10;23;0.6962617;0.15216999;0.83919996;0.67474836;0.6962617;0.6691932
Manhattan;weightedWithExp;2;1;0.6635514;0.1198281;0.82856584;0.68226916;0.6635514;0.6627674
Manhattan;weightedWithExp;2;3;0.6588785;0.12143907;0.8265351;0.67067176;0.6588785;0.66023993
Manhattan;weightedWithExp;2;5;0.682243;0.108269736;0.8424754;0.7041885;0.682243;0.68294245
Manhattan;weightedWithExp;2;7;0.6775701;0.11518369;0.83697265;0.6891705;0.6775701;0.67696315
Manhattan;weightedWithExp;2;11;0.6775701;0.12079882;0.8344397;0.680352;0.6775701;0.67674106
Manhattan;weightedWithExp;2;13;0.69158876;0.11772078;0.8429776;0.68463016;0.69158876;0.6863944
Manhattan;weightedWithExp;2;17;0.6869159;0.13199452;0.8356625;0.6651216;0.6869159;0.6688252
Manhattan;weightedWithExp;2;19;0.6869159;0.13018292;0.8356625;0.66113913;0.6869159;0.6720847
Manhattan;weightedWithExp;2;23;0.6775701;0.14208582;0.82991964;0.6588137;0.6775701;0.6584274
Manhattan;weightedWithExp;3;1;0.71495324;0.11195288;0.858765;0.70101494;0.71495324;0.70370877
Manhattan;weightedWithExp;3;3;0.7196262;0.10811496;0.8606647;0.7128966;0.7196262;0.71404886
Manhattan;weightedWithExp;3;5;0.71495324;0.11195288;0.858765;0.70101494;0.71495324;0.70370877
Manhattan;weightedWithExp;3;7;0.7196262;0.111522295;0.86092675;0.70541596;0.7196262;0.7084393
Manhattan;weightedWithExp;3;11;0.7056075;0.11828023;0.8523889;0.6899229;0.7056075;0.69552517
Manhattan;weightedWithExp;3;13;0.7056075;0.12014853;0.8511006;0.6892712;0.7056075;0.69448626
Manhattan;weightedWithExp;3;17;0.6962617;0.13301598;0.84271556;0.67584544;0.6962617;0.6802924
Manhattan;weightedWithExp;3;19;0.7009346;0.13074443;0.84590364;0.68008107;0.7009346;0.6846749
Manhattan;weightedWithExp;3;23;0.7056075;0.12756708;0.8493537;0.6843241;0.7056075;0.68919474
Manhattan;weightedWithExp;5;1;0.7242991;0.104078166;0.86520654;0.7194226;0.7242991;0.7191913
Manhattan;weightedWithExp;5;3;0.7196262;0.10481068;0.8617565;0.7177321;0.7196262;0.7162565
Manhattan;weightedWithExp;5;5;0.72897196;0.103976846;0.8669753;0.7204942;0.72897196;0.72197217
Manhattan;weightedWithExp;5;7;0.72897196;0.10614709;0.8669753;0.7119309;0.72897196;0.71780455
Manhattan;weightedWithExp;5;11;0.71028036;0.11523328;0.85448515;0.6969859;0.71028036;0.7003715
Manhattan;weightedWithExp;5;13;0.7009346;0.12224853;0.848109;0.6766368;0.7009346;0.68640816
Manhattan;weightedWithExp;5;17;0.71028036;0.11866794;0.85319686;0.687154;0.71028036;0.6937293
Manhattan;weightedWithExp;5;19;0.71495324;0.11609446;0.8563849;0.6926916;0.71495324;0.6982005
Manhattan;weightedWithExp;5;23;0.7056075;0.1237136;0.8485895;0.6761664;0.7056075;0.68709236
Manhattan;weightedWithExp;10;1;0.71495324;0.10842316;0.85762954;0.7107706;0.71495324;0.7087582
Manhattan;weightedWithExp;10;3;0.7056075;0.10801988;0.8545943;0.7002639;0.7056075;0.7004163
Manhattan;weightedWithExp;10;5;0.7242991;0.10388007;0.86387455;0.7181977;0.7242991;0.71758354
Manhattan;weightedWithExp;10;7;0.7383177;0.09893373;0.87228143;0.7278296;0.7383177;0.730093
Manhattan;weightedWithExp;10;11;0.7383177;0.10407616;0.8693991;0.72232753;0.7383177;0.72793776
Manhattan;weightedWithExp;10;13;0.72897196;0.10771346;0.863154;0.7187802;0.72897196;0.7192049
Manhattan;weightedWithExp;10;17;0.7242991;0.11770344;0.85597;0.7080433;0.7242991;0.7107556
Manhattan;weightedWithExp;10;19;0.7383177;0.112757094;0.86540306;0.7119913;0.7383177;0.7189643
Manhattan;weightedWithExp;10;23;0.7242991;0.1201756;0.85597;0.6988933;0.7242991;0.7056034
Manhattan;weightedWithSquare;2;1;0.6588785;0.11899424;0.8328894;0.6751266;0.6588785;0.6606366
Manhattan;weightedWithSquare;2;3;0.6682243;0.11445114;0.83526945;0.6823005;0.6682243;0.66881853
Manhattan;weightedWithSquare;2;5;0.6635514;0.11642076;0.8360774;0.6813433;0.6635514;0.665194
Manhattan;weightedWithSquare;2;7;0.6448598;0.13251768;0.8230632;0.6553556;0.6448598;0.64418465
Manhattan;weightedWithSquare;2;11;0.6635514;0.12620671;0.83319503;0.6729804;0.6635514;0.66430885
Manhattan;weightedWithSquare;2;13;0.69158876;0.120221384;0.84627485;0.69484746;0.69158876;0.6904677
Manhattan;weightedWithSquare;2;17;0.6728972;0.13479908;0.8376278;0.675867;0.6728972;0.66857886
Manhattan;weightedWithSquare;2;19;0.6635514;0.13909693;0.8307495;0.6658072;0.6635514;0.6595529
Manhattan;weightedWithSquare;2;23;0.6728972;0.14698838;0.8341122;0.67736715;0.6728972;0.6609961
Manhattan;weightedWithSquare;3;1;0.71028036;0.11172491;0.85570794;0.7065727;0.71028036;0.7038567
Manhattan;weightedWithSquare;3;3;0.7242991;0.103069305;0.8651411;0.72084564;0.7242991;0.7197244
Manhattan;weightedWithSquare;3;5;0.7196262;0.107181825;0.8620841;0.7139729;0.7196262;0.7131098
Manhattan;weightedWithSquare;3;7;0.7242991;0.1068796;0.8640275;0.7183826;0.7242991;0.7178522
Manhattan;weightedWithSquare;3;11;0.7056075;0.11984771;0.8523451;0.69938546;0.7056075;0.6996845
Manhattan;weightedWithSquare;3;13;0.7056075;0.11984771;0.8523451;0.69938546;0.7056075;0.6996845
Manhattan;weightedWithSquare;3;17;0.7056075;0.12789746;0.8499432;0.69756347;0.7056075;0.69560015
Manhattan;weightedWithSquare;3;19;0.6869159;0.13819137;0.83692896;0.68035656;0.6869159;0.6779286
Manhattan;weightedWithSquare;3;23;0.6962617;0.13400693;0.8436981;0.685464;0.6962617;0.68287003
Manhattan;weightedWithSquare;5;1;0.7056075;0.11790776;0.854245;0.697126;0.7056075;0.6970223
Manhattan;weightedWithSquare;5;3;0.7056075;0.11018729;0.8544196;0.7038229;0.7056075;0.70195776
Manhattan;weightedWithSquare;5;5;0.7056075;0.1160668;0.85402656;0.69578636;0.7056075;0.69709134
Manhattan;weightedWithSquare;5;7;0.7056075;0.11853896;0.8538519;0.69187784;0.7056075;0.6948419
Manhattan;weightedWithSquare;5;11;0.7009346;0.12081051;0.85212684;0.68767726;0.7009346;0.69004756
Manhattan;weightedWithSquare;5;13;0.7009346;0.122349545;0.8512316;0.6900798;0.7009346;0.69066954
Manhattan;weightedWithSquare;5;17;0.682243;0.12956743;0.84114337;0.6775028;0.682243;0.67412287
Manhattan;weightedWithSquare;5;19;0.69158876;0.1286571;0.8448991;0.6865853;0.69158876;0.6815706
Manhattan;weightedWithSquare;5;23;0.6869159;0.13153252;0.8415801;0.6797868;0.6869159;0.676799
Manhattan;weightedWithSquare;10;1;0.71028036;0.1108928;0.85631937;0.71011984;0.71028036;0.7058675
Manhattan;weightedWithSquare;10;3;0.71028036;0.107210875;0.85658133;0.70816636;0.71028036;0.7055723
Manhattan;weightedWithSquare;10;5;0.7242991;0.101606;0.8670408;0.7262964;0.7242991;0.72075367
Manhattan;weightedWithSquare;10;7;0.71028036;0.1108928;0.8576514;0.7097229;0.71028036;0.7052668
Manhattan;weightedWithSquare;10;11;0.7196262;0.109885395;0.8615381;0.7197381;0.7196262;0.7141686
Manhattan;weightedWithSquare;10;13;0.71028036;0.114730425;0.85649407;0.7104354;0.71028036;0.70447177
Manhattan;weightedWithSquare;10;17;0.71495324;0.11543106;0.85719275;0.7091525;0.71495324;0.70835394
Manhattan;weightedWithSquare;10;19;0.71028036;0.117400676;0.85542405;0.7016387;0.71028036;0.70176864
Manhattan;weightedWithSquare;10;23;0.7196262;0.11717073;0.85922354;0.70611423;0.7196262;0.708837
Euclidean;constant;2;1;0.60280377;0.16680118;0.7965543;0.62913007;0.60280377;0.60343945
Euclidean;constant;2;3;0.635514;0.1390158;0.8171893;0.6538209;0.635514;0.64150786
Euclidean;constant;2;5;0.60747665;0.15584666;0.8022535;0.6310033;0.60747665;0.6110513
Euclidean;constant;2;7;0.55140185;0.20043978;0.76244646;0.57720613;0.55140185;0.54739255
Euclidean;constant;2;11;0.3504673;0.33591786;0.63005507;0.42589405;0.3504673;0.3114403
Euclidean;constant;2;13;0.37383178;0.3245601;0.6487466;0.3854746;0.37383178;0.32011008
Euclidean;constant;2;17;0.43457943;0.30656013;0.68744;0.46572077;0.43457943;0.34678718
Euclidean;constant;2;19;0.42056075;0.3052226;0.6801031;0.41812682;0.42056075;0.34834364
Euclidean;constant;2;23;0.43457943;0.30414468;0.6882261;0.4441532;0.43457943;0.34883106
Euclidean;constant;3;1;0.7009346;0.12451303;0.8466678;0.7035522;0.7009346;0.69570756
Euclidean;constant;3;3;0.72897196;0.10344461;0.8671282;0.72633284;0.72897196;0.7264964
Euclidean;constant;3;5;0.6682243;0.13361615;0.83485454;0.67751104;0.6682243;0.6653442
Euclidean;constant;3;7;0.6448598;0.1703288;0.8155952;0.6220975;0.6448598;0.61844635
Euclidean;constant;3;11;0.57476634;0.22660898;0.7738012;0.6241365;0.57476634;0.5270565
Euclidean;constant;3;13;0.52803737;0.25418472;0.7493231;0.58077884;0.52803737;0.45412615
Euclidean;constant;3;17;0.5046729;0.2661463;0.7378374;0.36929256;0.5046729;0.40877807
Euclidean;constant;3;19;0.4906542;0.27748996;0.72543454;0.53156924;0.4906542;0.40497985
Euclidean;constant;3;23;0.5233645;0.25494662;0.7505896;0.37583664;0.5233645;0.42748588
Euclidean;constant;5;1;0.64953274;0.1447197;0.82928646;0.6453309;0.64953274;0.6399482
Euclidean;constant;5;3;0.6962617;0.113608256;0.8514281;0.69797814;0.6962617;0.69554514
Euclidean;constant;5;5;0.6728972;0.1225342;0.8397677;0.6783879;0.6728972;0.6736431
Euclidean;constant;5;7;0.64953274;0.1518021;0.8229977;0.648622;0.64953274;0.63941485
Euclidean;constant;5;11;0.53271025;0.23763974;0.75338453;0.56888986;0.53271025;0.48406154
Euclidean;constant;5;13;0.5046729;0.2528921;0.7362652;0.515897;0.5046729;0.44827542
Euclidean;constant;5;17;0.5186916;0.24665052;0.747205;0.48756889;0.5186916;0.43696254
Euclidean;constant;5;19;0.5140187;0.24982788;0.7458075;0.48633575;0.5140187;0.42254934
Euclidean;constant;5;23;0.4813084;0.27086157;0.72270507;0.46260434;0.4813084;0.3966727
Euclidean;constant;10;1;0.6869159;0.1346216;0.8426936;0.68138206;0.6869159;0.6780022
Euclidean;constant;10;3;0.6775701;0.12116217;0.8413399;0.67249167;0.6775701;0.6737452
Euclidean;constant;10;5;0.7056075;0.1218896;0.8538519;0.6946251;0.7056075;0.69647676
Euclidean;constant;10;7;0.6448598;0.16935137;0.8144598;0.62049246;0.6448598;0.6195981
Euclidean;constant;10;11;0.5794392;0.2036497;0.7804174;0.5773451;0.5794392;0.5419246
Euclidean;constant;10;13;0.5981308;0.19562703;0.79218704;0.60162413;0.5981308;0.5586768
Euclidean;constant;10;17;0.5233645;0.2281923;0.7532535;0.5195896;0.5233645;0.4795922
Euclidean;constant;10;19;0.48598132;0.26406103;0.7215041;0.52016723;0.48598132;0.42675164
Euclidean;constant;10;23;0.47663552;0.27101958;0.71576124;0.5132158;0.47663552;0.4145935
Euclidean;proportional;2;1;0.6214953;0.15070032;0.80437154;0.64556473;0.6214953;0.62649465
Euclidean;proportional;2;3;0.6588785;0.12274105;0.8307713;0.675847;0.6588785;0.6648309
Euclidean;proportional;2;5;0.635514;0.14245048;0.81616306;0.64931005;0.635514;0.6373992
Euclidean;proportional;2;7;0.6168224;0.15491179;0.80336714;0.63520414;0.6168224;0.62042105
Euclidean;proportional;2;11;0.5794392;0.18632065;0.7773823;0.5981057;0.5794392;0.57654303
Euclidean;proportional;2;13;0.5794392;0.19570649;0.77502406;0.59384704;0.5794392;0.5694435
Euclidean;proportional;2;17;0.62616825;0.18883084;0.8001572;0.6562583;0.62616825;0.5973085
Euclidean;proportional;2;19;0.60747665;0.19646406;0.7906367;0.61507934;0.60747665;0.57602924
Euclidean;proportional;2;23;0.57476634;0.21966799;0.76762164;0.5995643;0.57476634;0.53598225
Euclidean;proportional;3;1;0.71495324;0.11530273;0.8540484;0.7187994;0.71495324;0.7126346
