Manhattan
------------------------------------------------------------
Glass
folds;k;TP;FP;Accuracy;Precision;Recall;F
5;7;0.073033705;0.5048251;0.35784623;0.04443996;0.073033705;0.052181367
10;7;0.073033705;0.5048251;0.35784623;0.04443996;0.073033705;0.052181367
2;11;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
3;11;0.061797753;0.5179354;0.34812525;0.046254683;0.061797753;0.05057609
5;11;0.06741573;0.51138026;0.35336447;0.050226297;0.06741573;0.05442646
10;11;0.07865169;0.5039246;0.3615705;0.0562771;0.07865169;0.0617533
2;13;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
3;13;0.056179777;0.5216631;0.3440222;0.04315381;0.056179777;0.04677392
5;13;0.056179777;0.5216631;0.3440222;0.04315381;0.056179777;0.04677392
10;13;0.06741573;0.51232266;0.35298574;0.049906082;0.06741573;0.054392945
2;17;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
3;17;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
5;17;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
10;17;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
2;19;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
3;19;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
5;19;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
10;19;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
2;23;0.056179777;0.52354807;0.34326473;0.04261909;0.056179777;0.046672873
3;23;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
5;23;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129
10;23;0.056179777;0.5226056;0.3436435;0.04287848;0.056179777;0.04672129



Euclidean
------------------------------------------------------------
Glass
folds;k;TP;FP;Accuracy;Precision;Recall;F
2;1;0.21495327;0.20081587;0.66350776;0.13434748;0.21495327;0.15811583
3;1;0.30841124;0.27871057;0.6543148;0.13865006;0.30841124;0.19066852
5;1;0.317757;0.28429547;0.6545987;0.14017579;0.317757;0.19423528
10;1;0.317757;0.28656673;0.653223;0.13963391;0.317757;0.19376312
2;3;0.21028037;0.19289365;0.66636825;0.1371877;0.21028037;0.15814047
3;3;0.28504673;0.2810595;0.64344054;0.13233577;0.28504673;0.1800182
5;3;0.31308413;0.2695175;0.6560836;0.14080778;0.31308413;0.19237548
10;3;0.31308413;0.26516917;0.6586602;0.14174421;0.31308413;0.19290036
